issn_impreso,issn_linea,nombre_revista,anio_vigencia,categoria
0123-1472,,Cuadernos De Contabilidad,2020,B
1900-9895,,Latinoamericana De Estudios Educativos,2017,B
0124-5996,,Revista De Economía Institucional,2020,C
1900-9895,2500-5324,Latinoamericana De Estudios Educativos,2022,C
1794-9815,,Códices,2016,C
2027-4297,,Revista Colombiana De Ciencias Animal-Recia,2016,B
2011-4532,,Eleuthera,2019,C
1657-8953,,Civilizar,2016,A2
0123-5095,,Cuestiones De Filosofía,2015,C
1794-5992,2389-783X,Duazary,2022,C
0120-3754,,Administración & Desarrollo,2013,C
,,Ciencia Y Salud Virtual,2015,C
1909-3063,,"Revista De Relaciones Internacionales, Estrategia Y Seguridad",2020,C
0124-0781,2590-8669,Reflexión Política,2022,C
2389-8186,2389-8194,Revista Perspectiva Empresarial,2021,C
1794-7111,,Kepes,2015,B
0120-0011,2357-3848,Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,2021,C
1909-5759,,Revista Via Iuris,2019,C
0121-4381,,Suma Psicológica,2015,A2
2011-8643,,Magistro,2014,C
1657-3412,,Cuadernos Hispanoamericanos De Psicología,2015,C
0124-0781,,Reflexión Política,2016,B
1900-5121,,Tipica: Boletin Electronico De Salud Escolar,2010,C
1794-5658,,Amauta,2016,C
0120-159X,,Revista Colombiana De Sociología,2014,C
1657-9553,,Revista Facultad De Ciencias Contables Económicas Y Administrativas Faccea,2014,C
0120-3649,,Theologica Xaveriana,2015,A2
0123-2479,,Revista Del Instituto Colombiano De Derecho Procesal,2016,B
0034-7434,,Revista Colombiana De Obstetricia Y Ginecología,2016,A2
2011-0324,,Cs,2020,B
0124-3551,,Revista Cife,2016,C
0120-4807,,Universitas Humanística,2016,A2
1909-2407,,"Revista Salud, Historia Y Sanidad On-Line",2011,C
1794-5658,2500-7769,Amauta,2022,C
0370-3908,2382-4980,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2021,B
2011-7574,,Investigación & Desarrollo,2014,A2
0121-5469,,Revista Colombiana De Psicología,2018,C
1794-8231,2462-8794,Ecomatematico,2022,C
1657-9267,,Universitas Psychologica,2020,C
0121-5051,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2018,C
0123-4676,,Fronteras De La Historia,2010,B
0121-0319,,Médicas Uis,2020,C
,,Eidos,2015,A2
0123-9015,,Revista Colombiana De Cancerología,2020,C
0120-4327,,Revista Unimar,2014,C
1794-3841,,Hallazgos,2018,B
1657-9267,,Universitas Psychologica,2019,C
0122-9354,2389-8526,Revista De Medicina Veterinaria,2021,C
2145-4426,2145-7778,"Trilogía. Ciencia, Tecnologia Y Sociedad",2021,C
0124-8170,1909-7735,Ciencia E Ingeniería Neogranadina,2021,B
0034-7418,,Revista Colombiana De Ciencias Químico Farmacéuticas,2004,C
1657-0790,,Profile,2009,A2
0034-7434,,Revista Colombiana De Obstetricia Y Ginecología,2009,A2
0120-3045,,Maguaré,2010,C
0120-3045,,Maguaré,2007,C
0121-8123,,Revista Colombiana De Reumatología,2014,A2
1657-0790,,Profile,2010,A2
1657-0790,,Profile,2008,B
0124-2253,,Revista Científica,2005,C
0120-9833,,Energética,2006,C
0121-4500,,Avances De Enfermería,2011,A2
0120-4688,,Praxis Filosófica,2011,A2
0121-750X,,Ingeniería,2011,C
0120-5307,,Investigación Y Educación En Enfermería,2006,B
0120-0011,,Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,2011,A2
0122-0268,,Revista Mvz Córdoba,2008,A1
0120-8748,,Acta Neurológica Colombiana,2012,A2
0121-8697,,Revista De Derecho,2011,A2
0121-3784,,Livestock Research For Rural Development,2005,B
0121-0793,,Iatreia,2015,A2
0041-9060,,Vniversitas,2004,C
0120-5323,,Universitas Philosophica,2008,B
0123-4471,,Revista Del Departamento De Antropología Y Sociología Facultad De Ciencias Jurídicas Y Sociales,2009,C
0120-3630,,Boletín De Ciencias De La Tierra,2007,B
0124-0579,,Estudios Socio-Jurídicos,2007,C
0120-0380,,Boletín De Matemáticas,2005,C
0120-386X,,Revista Facultad Nacional De Salud Publica,2007,B
1692-7311,,Equidad & Desarrollo,2009,C
0124-0781,,Reflexión Política,2008,C
1657-8953,,Civilizar,2011,A2
1692-0279,,Ad-Minister Revista Escuela De Administración,2014,A2
1657-4249,,Uni-Pluriversidad,2011,C
0123-5362,,Revista De Economía Del Rosario,2004,A2
0123-3033,,Ingeniería Y Competitividad,2012,A2
0120-6788,,Matemáticas: Enseñanza Universitaria,2007,B
0304-2847,,Revista Facultad Nacional De Agronomía - Medellín,2015,A2
0123-1294,,Educación Y Educadores,2010,B
0124-8146,,Investigaciones Andina,2008,B
0124-8146,,Investigaciones Andina,2007,C
1692-6900,,Pre-Til,2008,C
0120-8705,,Revista Ces Medicina,2014,A2
0123-7756,,Revista Historia De La Educacion Colombiana,2012,C
0121-7577,,Hacia La Promoción De La Salud,2006,C
1657-8953,,Civilizar,2010,B
1692-3561,,Biotecnología En El Sector Agropecuario Y Agroindustrial,2006,C
1657-7663,,Avances En Sistema E Informática,2009,C
0121-5612,,Colombia Internacional,2010,A2
1794-5992,,Duazary,2013,C
1692-1259,,Epsilon,2013,C
0121-215X,,Cuadernos De Geografía,2015,A2
2216-1201,,Revista Colombiana De Ciencias Sociales,2014,C
0034-7426,,Revista Colombiana De Matemáticas,2013,A2
1900-4699,,Revista Facultad De Ciencias Básicas,2013,B
0122-820X,,Revista Respuestas,2014,C
1900-6896,,Revista Colombiana De Bioética,2013,B
1900-6896,,Revista Colombiana De Bioética,2009,B
1900-6896,,Revista Colombiana De Bioética,2010,B
1909-8391,,Tesis Psicologica,2012,C
1909-0455,,Producción + Limpia,2009,C
0123-3122,,Persona Y Bioética,2013,A2
0041-9060,,Vniversitas,2009,A2
0120-5927,,How,2012,B
1794-8614,,El Artista / The Artist,2008,C
1657-6527,,"Fuentes, El Reventón Energético",2013,B
1692-1399,,Revista De Tecnología,2014,C
0123-1472,,Cuadernos De Contabilidad,2010,B
1900-5016,,Cuadernos Latinoamericanos De Administración,2011,C
0122-7262,,Acta Colombiana De Cuidado Intensivo,2013,C
0120-8454,,Análisis,2011,C
0124-7107,,Universidad Y Salud,2014,A2
2011-4532,,Eleuthera,2013,B
0124-308X,,Revista De La Facultad Ciencias De La Salud Universidad Del Cauca,2010,C
2011-0324,,Cs,2012,B
1900-3099,,Pensando Psicologia,2012,C
2145-6194,,Revista Civilizar De Empresa Y Economía,2011,C
1692-2484,,Revista Filosofía Uis,2013,B
0486-6525,,Revista Colombiana De Antropología,2012,A2
1794-5887,,Co-Herencia,2012,A2
1909-5759,,Revista Via Iuris,2012,C
2145-9371,,Ingenieria Y Desarrollo,2013,A2
2011-5474,,Revista Latinoamericana De Etnomatemática,2012,C
1657-4672,,Plumilla Educativa,2014,C
0121-747X,,Revista De La Facultad De Ciencias,2015,C
1657-3978,,Criterio Jurídico,2014,C
2011-8643,,Magistro,2012,C
0123-1294,,Educación Y Educadores,2015,A2
0120-8160,,Revista Escuela De Administración De Negocios,2017,B
1692-7311,,Equidad & Desarrollo,2017,C
0124-7441,,Justicia,2015,B
0123-4412,,Estudios De Literatura Colombiana,2018,B
0121-6538,,Ánfora,2020,C
2011-4532,,Eleuthera,2018,C
0121-5612,,Colombia Internacional,2018,B
0120-3886,,Revista Facultad De Derecho Y Ciencias Políticas,2018,B
0123-4366,2346-2442,Revista De Derecho Privado,2022,A2
1692-8563,,Dimensión Empresarial,2016,B
0120-4173,,Revista De La Asociación Colombiana De Ciencias Biológicas,2013,C
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2020,B
0122-5197,,Memoria Y Sociedad,2018,B
1692-8989,,Economía & Región,2016,B
2146-5147,,Desarrollo Gerencial. Revista De La Facultad De Ciencias Económicas Administrativas Y Contables.,2011,C
1692-5106,,Revista Ustasalud Odontología,2016,C
1657-5997,2027-5374,Aquichan,2022,C
0122-056X,,Informador Tecnico,2020,C
0121-5426,,Revista Colombiana De Neumología,2015,B
2145-941X,,Pensamiento & Gestión,2015,A2
0121-5051,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2021,B
1692-3103,,Revista De La Maestría De Derecho Económico,2010,B
0120-8411,,Acta De Otorrinolaringología & Cirugía De Cabeza Y Cuello,2016,C
2011-7531,,Salud Uninorte,2016,A2
0121-7593,,Revista Educación Y Pedagogía,2013,C
0120-3754,2500-5227,Administración & Desarrollo,2022,C
1692-3561,1909-9959,Biotecnología En El Sector Agropecuario Y Agroindustrial,2021,B
1794-7561,,Revista De Economía & Administración,2016,C
1657-4702,,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2019,B
0124-5996,,Revista De Economía Institucional,2016,A2
2145-2628,,Journal De Ciencia E Ingenieria,2016,C
0121-0777,,El Hombre Y La Máquina,2008,C
2344-8652,,Investigación e Innovación en Ingenierías,2019,B
0123-921X,,Tecnura,2019,B
1794-6638,,Ratio Juris,2016,C
2346-3775,2346-3775,Tropical Grasslands-Forrajes Tropicales,2022,B
0124-7107,,Universidad Y Salud,2015,A2
1900-6586,,"Revista Científica ""General José María Córdova""",2016,B
2027-291X,,Revista Alimentos Hoy,2015,C
0123-4072,,Lumina,2015,C
1692-6013,,Novum Jus: Revista Especializada en Sociología Jurídica y Política,2019,C
0121-1935,,Revista De Ciencias,2014,B
2145-6569,,Revista De Psicologia Gepu,2015,B
0124-4361,,Memorias,2016,C
2322-9381,,Trashumante,2020,A2
1692-1798,,Revista Iteckne,2017,C
1900-3803,,Entramado,2014,B
0122-820X,,Revista Respuestas,2019,B
0120-9965,,Agronomía Colombiana,2011,A2
0124-2253,,Revista Científica,2018,C
0123-4986,,Trabajo Social,2014,C
0120-2952,,Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,2018,C
0122-7483,2027-1352,Universitas Scientiarum,2021,B
0120-3584,,Desarrollo Y Sociedad,2010,A2
0124-4108,,Perspectivas En Nutrición Humana,2020,C
0072-0992,,Geología Colombiana,2008,C
0121-8697,,Revista De Derecho,2012,A2
1692-3375,,Umbral Científico,2013,C
0120-0976,,Revista Interamericana De Bibliotecología,2020,C
0121-2974,,Geofísica Colombiana,2004,C
1692-0279,2256-4322,Ad-Minister Revista Escuela De Administración,2022,B
1909-0528,,Via Inveniendi Et Iudicandi Revista Virtual,2016,C
0124-4639,,Revista Universidad Y Empresa,2020,C
1909-230X,,Ciencia Política,2012,C
1657-4915,2389-7856,Praxis,2021,C
0012-7353,,Dyna,2019,B
0121-6805,,Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,2016,A2
0120-3347,,Revista Colombiana De Anestesiología,2015,A2
0122-820X,,Revista Respuestas,2020,B
0041-9060,,Vniversitas,2018,C
0124-6127,2462-9596,Discusiones Filosóficas,2022,C
0121-8530,,La Palabra,2020,B
0120-159X,,Revista Colombiana De Sociología,2019,C
1692-7257,,Revista Colombiana De Tecnologías De Avanzada,2020,B
0120-548X,,Acta Biológica Colombiana,2016,A2
0121-4128,,Lúdica Pedagógica,2016,B
1692-8571,,Justicia Juris,2015,B
1692-8261,2216-1368,Prospectiva,2021,C
1794-1237,2463-0950,Revista Eia,2021,B
0120-0488,,Revista Colombiana De Entomología,2008,A1
0034-7418,,Revista Colombiana De Ciencias Químico Farmacéuticas,2010,B
0120-4157,,Biomédica,2010,A1
0122-0667,,Revista Medica De Risaralda,2006,C
1657-7027,,Revista Gerencia Y Políticas De Salud,2012,A2
0120-3630,,Boletín De Ciencias De La Tierra,2008,B
0123-3033,,Ingeniería Y Competitividad,2014,A2
0120-2456,,Anuario Colombiano De Historia Social,2004,C
0121-4500,,Avances De Enfermería,2010,A2
0120-0011,,Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,2005,B
0124-5996,,Revista De Economía Institucional,2004,A2
,,Colombia Médica,2013,A1
0120-0011,,Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,2013,A2
1692-2522,,Anagramas : Rumbos Y Sentidos De La Comunicación,2004,C
1794-1237,,Revista Eia,2007,C
0304-2847,,Revista Facultad Nacional De Agronomía - Medellín,2008,A2
0120-131X,,Cuestiones Teológicas Y Filosóficas,2007,C
0120-0062,,Ideas Y Valores,2015,A2
1657-4249,,Uni-Pluriversidad,2010,C
0123-3432,,Íkala,2009,B
0120-131X,,Cuestiones Teológicas Y Filosóficas,2013,B
0123-3432,,Íkala,2014,A2
0120-386X,,Revista Facultad Nacional De Salud Publica,2015,A2
1657-3498,,Revista Institucional De La Universidad Tecnológica Del Chocó,2012,C
0121-2494,,Pedagogía Y Saberes,2009,B
0122-3461,,Ingeniería & Desarrollo,2009,A2
0370-3908,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2009,B
0121-3709,,Orinoquia,2011,A2
1692-3960,,Revista@E-Mercatoria,2006,C
1794-1237,,Revista Eia,2011,A2
1657-9267,,Universitas Psychologica,2011,A1
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2009,A2
0120-0283,,Boletín De Geología,2014,A2
0121-5051,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2014,A1
0120-6788,,Matemáticas: Enseñanza Universitaria,2004,C
0124-2253,,Revista Científica,2011,C
0120-3576,,Coyuntura Económica,2014,B
0120-3053,,Apuntes Del Cenes,2007,C
0120-2812,,Acta Agronómica,2006,B
0120-4823,,Signo Y Pensamiento,2005,C
0122-8285,,Palabra Clave,2011,A2
1657-9550,,Biosalud,2010,B
0120-8705,,Revista Ces Medicina,2007,C
1794-7111,,Kepes,2013,B
1794-7111,,Kepes,2007,C
1657-9526,,Entreartes,2007,C
0121-4993,,Revista De Ingeniería,2010,A2
0120-8160,,Revista Escuela De Administración De Negocios,2011,B
0122-7610,,Temas Agrarios,2014,B
0121-5167,,Estudios Políticos,2015,A2
0124-2253,,Revista Científica,2008,C
1657-4702,,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2010,B
1794-4449,,Revista Lasallista De Investigación,2008,B
1794-2489,,Tabula Rasa,2009,A2
0122-8102,,Cuadernos De Literatura,2015,B
0120-5307,,Investigación Y Educación En Enfermería,2014,A2
1657-5946,,"Economía, Gestión Y Desarrollo",2008,C
0120-2596,,Lecturas De Economía,2009,A2
1900-2785,,Iconofacto,2015,C
0120-4807,,Universitas Humanística,2007,A2
2145-2660,,Vitae,2014,A1
0122-7483,,Universitas Scientiarum,2006,C
1794-4449,,Revista Lasallista De Investigación,2014,A2
1794-192X,,Revista Guillermo De Ockman,2008,C
1657-4702,,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2009,B
0121-1617,,Historia Crítica,2012,A1
0366-5232,,Caldasia,2006,A2
0121-6538,,Ánfora,2009,C
0123-7756,,Revista Historia De La Educacion Colombiana,2014,C
1909-1621,,Revista Colombiana De Enfermeria,2014,C
0120-4165,,Controversia,2008,C
0120-4645,,Cuadernos De Administración,2008,C
1909-3063,,"Revista De Relaciones Internacionales, Estrategia Y Seguridad",2008,C
0122-8803,,Historia Caribe,2009,C
1900-8260,,Revista De Educación En Ingeniería,2014,B
0124-7913,,Bitácora Urbano Territorial,2012,B
0121-3814,,"Tea Tecné, Episteme Y Didaxis",2014,B
1657-6985,,Ingeniería Y Región,2012,C
0123-9465,,Ambiente Jurídico,2010,C
0122-820X,,Revista Respuestas,2009,C
1794-6298,,Vox Populi- Revista De La Escuela De Finanzas Y Estudios Internacionales De La Fundación Universitaria San Martín (Sede Bogotá),2011,C
0124-2067,,Principia Iuris,2012,C
1794-5240,,Medicas Uis,2010,C
1794-6670,,"Cuadernos De Música, Artes Visuales Y Artes Escénicas",2011,C
1692-8571,,Justicia Juris,2011,B
1900-9895,,Latinoamericana De Estudios Educativos,2012,B
1657-4702,,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2013,A2
0121-7372,,Repertorio De Medicina Y Cirugía,2007,C
1692-8156,,International Law : Revista Colombiana De Derecho Internacional,2013,A2
1692-5491,,Momentos De Ciencia,2010,C
2011-5318,,Educacion Y Desarrollo Social,2013,C
0120-419X,,Revista Integración,2015,A2
1900-5016,,Cuadernos Latinoamericanos De Administración,2010,C
0122-8803,,Historia Caribe,2014,A2
2027-1840,,Revista Colombiana De Ciencia Animal,2012,C
0121-6805,,Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,2012,A2
2011-7922,,International Journal Of Psychological Research,2013,B
2145-6097,,Revista De Investigacion Agraria Ambiental,2011,C
1794-9920,,Face Revista De La Facultad De Ciencias Economicas U De Pamplona,2012,C
2215-8405,,Teuken Bidikay,2012,C
2145-4892,,Revista De Psicología Universidad De Antioquia,2013,C
0124-2253,,Revista Científica,2012,C
0120-6346,,Semestre Económico,2013,A2
0121-4128,,Lúdica Pedagógica,2012,C
1794-1180,,Escenarios,2012,C
2216-0647,,Traza,2013,C
2145-9444,,Zona Proxima,2013,B
2011-4540,,Nuevo Derecho,2012,C
0123-3769,,Perspectiva Geográfica,2014,B
1657-2831,,Revista Colombiana De Computación,2011,C
0120-5587,,Lingüística Y Literatura,2013,B
1794-7561,,Revista De Economía & Administración,2014,C
1657-6799,,Revista Jurídica Piélagus,2015,C
1794-4724,,Avances En Psicología Latinoamericana,2014,A1
0122-9893,,Revista Derecho Del Estado,2015,B
2027-4297,,Revista Colombiana De Ciencias Animal-Recia,2014,B
0124-3551,,Revista Cife,2012,C
2145-549X,,Revista Logos Ciencia 6& Tecnologia,2017,B
0121-5469,,Revista Colombiana De Psicología,2017,C
0121-5612,,Colombia Internacional,2017,B
0123-9155,,Acta Colombiana De Psicología,2017,B
0120-9957,,Revista Colombiana De Gastroenterología,2017,C
1900-3099,,Pensando Psicologia,2014,C
0122-8285,,Palabra Clave,2018,A2
0121-053X,,Cuadernos De Lingüística Hispánica,2018,C
1657-7027,,Revista Gerencia Y Políticas De Salud,2018,C
0120-0062,,Ideas Y Valores,2018,C
0122-1701,,Scientia Et Technica,2018,B
2390-0725,2422-3182,Revista CEA,2022,B
2346-3775,,Tropical Grasslands-Forrajes Tropicales,2020,C
2256-1536,,REVISTA BOLETÍN REDIPE,2019,C
0120-2952,,Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,2016,A2
0120-0143,,Fitopatologia Colombiana,2014,B
1692-3561,,Biotecnología En El Sector Agropecuario Y Agroindustrial,2016,A2
0120-4319,,Universitas Odontologica,2015,B
1657-480X,,Boletín Del Observatorio Colombiano De Energía,2007,C
0121-750X,,Ingeniería,2015,B
0034-7426,,Revista Colombiana De Matemáticas,2016,A2
0120-1700,2389-8755,Actualidades Pedagógicas,2022,C
0123-4676,,Fronteras De La Historia,2009,B
0120-1751,,Revista Colombiana De Estadística,2016,A1
,2256-1536,REVISTA BOLETÍN REDIPE,2021,B
0121-7550,,Nomadas,2017,B
2145-5996,,Revista Lebret,2016,C
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2017,B
1657-3412,2346-0253,Cuadernos Hispanoamericanos De Psicología,2021,C
0124-8146,,Investigaciones Andina,2019,C
0124-4639,,Revista Universidad Y Empresa,2018,B
1900-4699,,Revista Facultad De Ciencias Básicas,2016,B
0124-0021,,Diálogos De Saberes,2016,C
1692-5777,,"Gist, Education And Learning Research Journal",2019,B
0120-4483,,Ensayos Sobre Política Económica,2014,A2
2027-1174,,Magis - Revista Internacional De Investigación En Educación,2019,C
0123-2126,2011-2769,Ingeniería Y Universidad,2021,B
2346-3279,,En Contexto,2015,C
1692-2484,,Revista Filosofía Uis,2015,B
2145-6097,2145-6453,Revista De Investigacion Agraria Ambiental,2022,B
1900-9895,,Latinoamericana De Estudios Educativos,2010,C
2215-7360,,Aglala,2017,B
2027-1786,,Revista Iberoamericana De Psicología: Ciencia Y Tecnología,2019,C
0120-0488,2665-4385,Revista Colombiana De Entomología,2021,C
1909-4450,,Revista Republicana,2017,C
1657-107X,,Revista Interamericana De Investigación Educación Y Pedagogía,2019,B
1657-4672,,Plumilla Educativa,2013,C
0121-0807,,Salud Uis,2016,A2
0121-3814,,"Tea Tecné, Episteme Y Didaxis",2016,B
2216-0965,,Eafit Journal Of International Law,2016,C
0120-6230,,Revista Facultad De Ingeniería,2019,B
0124-2059,,Investigación En Enfermería :Imagen Y Desarrollo,2016,B
0120-6346,2248-4345,Semestre Económico,2021,C
2011-074X,,Revista S,2013,C
0121-7488,2462-7658,Ciencia En Desarrollo,2021,B
0122-8420,,Ciencia Y Agricultura,2016,B
2027-1840,,Revista Colombiana De Ciencia Animal,2014,C
0120-2510,,Boletín De Antropología,2015,B
0123-5931,,"Literatura: Teoria, Historia, Critica",2012,C
0121-5469,,Revista Colombiana De Psicología,2019,B
0034-7418,,Revista Colombiana De Ciencias Químico Farmacéuticas,2018,B
0120-1468,,Franciscanum,2016,A2
1900-3803,2539-0279,Entramado,2022,B
2145-941X,,Pensamiento & Gestión,2019,B
0123-5923,,Estudios Gerenciales,2020,B
1657-8953,2619-189X,Civilizar,2022,C
1794-7111,2462-8115,Kepes,2022,A1
0123-8418,,Territorios,2021,C
1692-6900,,Pre-Til,2016,C
0121-215X,,Cuadernos De Geografía,2019,B
0034-7450,,Revista Colombiana De Psiquiatría,2019,C
0120-2650,,Revista Colombiana De Física,2005,C
0304-2847,2248-7026,Revista Facultad Nacional De Agronomía - Medellín,2022,B
1900-9607,,Revista Ces Medicina Veterinaria Y Zootecnia,2008,C
2011-2173,,Revista Colombiana De Ciencias Hortícolas,2019,B
1657-107X,2500-5421,Revista Interamericana De Investigación Educación Y Pedagogía,2022,B
1909-0528,,Via Inveniendi Et Iudicandi Revista Virtual,2014,C
2145-5996,,Revista Lebret,2015,C
2145-1362,,R.F.S. Revista Facultad De Salud Universidad Surcolombiana,2015,C
0121-0319,1794-5240,Médicas Uis,2022,C
0124-8693,,Tendencias,2016,B
0123-2126,,Ingeniería Y Universidad,2015,A2
0124-7441,,Justicia,2011,B
1692-2484,2145-8529,Revista Filosofía Uis,2022,C
0120-338X,,Forma Y Función,2016,A2
1794-0915,,Ornitología Colombiana,2022,C
